Address,Possesion,Furnishing,Buildup_area,Carpet_area,Bathrooms,Parking,Price,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms
"Arihant housing society, Sai Nagar, Kandivali West, Mumbai",Ready to move,Semi Furnished,615.0,508.0431495,1.0,0,14500000,14500000.0,7.0,23580.0,2.0,2.0
"5 year  tower, I C Colony, Borivali West, Mumbai",Ready to move,Semi Furnished,1200.0,724.7725583,3.0,1,18500000,18500000.0,13.0,15420.0,2.0,2.0
"Windsor Grande Residences, Mhada Colony, Andheri West, Mumbai",Ready to move,Semi Furnished,3300.0,2300.0,5.0,3,125000000,1250000.0,32.0,37880.0,4.0,4.0
"Maharashtra Nagar, Borivali West, Mumbai",Ready to move,Unfurnished,800.0,642.5706816,1.0,1,16000000,16000000.0,4.0,20000.0,2.0,2.0
"Bandra West, Mumbai",Ready to move,Semi Furnished,2000.0,1602.32121,4.0,2,85000000,85000000.0,12.0,42500.0,3.0,3.0
"Tata Shubh Griha, Maan, Boisar, Mumbai",Ready to move,Unfurnished,465.0,380.0,1.0,1,1250000,25000.0,5.107900016,2690.0,1.0,1.0
"UK Iridium, Hanuman Nagar, Kandivali East, Mumbai",Ready to move,Semi Furnished,900.0,518.0,2.0,1,13000000,110000.0,27.0,14440.0,2.0,2.0
"Ajmera Zeon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,1192.0,994.0,2.0,1,30500000,290000.0,40.0,25590.0,2.0,2.0
"Parinee Essence, Ambedkar Nagar, Kandivali West, Mumbai",Ready to move,Unfurnished,980.0,575.0,2.0,1,12000000,0.0,21.0,12240.0,2.0,2.0
"Shraddha Prestige, Pirojshanagar, Vikhroli East, Mumbai",Ready to move,Unfurnished,500.0,399.0,2.0,0,8500000,100000.0,23.0,17000.0,1.0,1.0
"Excellent chs, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,1050.0,740.1822248,1.0,0,19500000,19500000.0,7.0,18570.0,3.0,3.0
"Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,600.0,600.0,2.0,1,15000000,150000.0,10.0,25000.0,2.0,2.0
"Panchamratna Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,640.0,420.0,2.0,1,6900000,88999.0,12.0,10780.0,1.0,1.0
"prathmesh kandivali east , Saraf Chaudhary Nagar, Kandivali East, Mumbai",Ready to move,Semi Furnished,550.0,429.9938774,1.0,1,10000000,10000000.0,7.0,18180.0,1.0,1.0
"Shapoorji Pallonji Vicinia, Chandivali, Powai, Mumbai",Ready to move,Semi Furnished,900.0,671.0,2.0,1,23000000,230000.0,21.0,25550.0,2.0,2.0
"Hiranandani Glen Dale, Sainath Nagar, Powai, Mumbai",Ready to move,Semi Furnished,2700.0,2030.0,2.0,3,95000000,950000.0,32.0,35190.0,3.0,3.0
"Lodha Splendora ghodbunder road, Bhayandarpada, Thane West, Mumbai",Ready to move,Semi Furnished,890.0,670.8381922,1.0,1,10000000,10000000.0,28.0,11230.0,2.0,2.0
"Sri Garden Avenue K, Global City, Virar West, Mumbai",Ready to move,Unfurnished,640.0,431.0,2.0,0,3500000,0.0,15.0,5470.0,1.0,1.0
"Florence, Navagaon, Dahisar West, Mumbai",Ready to move,Unfurnished,550.0,440.0,2.0,0,8500000,85000.0,7.0,15450.0,1.0,1.0
"Rite Skyluxe, Swastik Park, Chembur, Mumbai",Ready to move,Semi Furnished,850.0,700.0,2.0,2,20000000,200000.0,15.0,23530.0,2.0,2.0
"K Raheja Interface Heights, Mindspace, Malad West, Mumbai",Ready to move,Semi Furnished,1000.0,840.0,2.0,1,24000000,240000.0,20.0,24000.0,2.0,2.0
"Skyline Magnus, Pant Nagar, Ghatkopar East, Mumbai",Ready to move,Semi Furnished,1610.0,1400.0,3.0,0,41800000,0.0,12.0,25960.0,3.0,3.0
"Chaitanya Anand CHSL, Tepgaon, Andheri West, Mumbai",Ready to move,Semi Furnished,500.0,367.0,1.0,1,14300000,5726936.663,13.0,28600.0,1.0,1.0
"Sahajanand Athena, Jawahar Nagar, Goregaon West, Mumbai",Ready to move,Semi Furnished,550.0,391.0,2.0,1,11000000,100000.0,22.0,20000.0,1.0,1.0
"Amardeep Chembur, Chembur Gaothan, Chembur, Mumbai",Ready to move,Unfurnished,1850.0,1077.534751,1.0,2,38500000,38500000.0,15.0,20810.0,3.0,3.0
"Rameshwar tower dadar West, Dadar West, Mumbai",Ready to move,Semi Furnished,1800.0,1366.989643,1.0,1,70000000,70000000.0,22.0,38890.0,3.0,3.0
"P&T Staff Colony, Mulund West, Mumbai",Ready to move,Fully Furnished,1100.0,733.7725301,1.392111373,1,18500000,18500000.0,6.0,16820.0,3.0,1.999999973
"Godrej Prime, Sahakar Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,810.0,650.0,2.0,2,19000000,190000.0,15.0,23460.0,2.0,2.0
"Om Shree Tirupati Balaji Tirupati Pooja, Navghar Gaon, Bhayandar East, Mumbai",Ready to move,Semi Furnished,695.0,400.0,2.0,1,7000000,150000.0,15.0,10070.0,1.0,1.0
"Samta Ostwal Empire M1 And M2, Boisar, Mumbai",Ready to move,Semi Furnished,865.0,700.0,2.0,1,4500000,85111.00428,3.0,5200.0,2.0,2.0
"vinayak apt, Chincholi Bunder, Malad West, Mumbai",Ready to move,Semi Furnished,600.0,420.0,1.0,1,11000000,110000.0,6.0,18330.0,1.0,1.0
"B L Tower, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1000.0,769.5246551,1.0,1,13000000,13000000.0,10.0,13000.0,2.0,2.0
"Salangpur Salasar Aarpan, Pandurang Wadi, Mira Road East, Mumbai",Ready to move,Semi Furnished,730.0,490.0,2.0,1,6550000,64000.0,8.0,8970.0,1.0,1.0
"RUNWAL FOREST, Kanjurmarg West, Mumbai",Ready to move,Semi Furnished,600.0,448.2252091,1.0,1,12500000,12500000.0,38.0,20830.0,2.0,2.0
"S R And Shah Surya Kirti Heights and Tower, Virar West, Mumbai",Ready to move,Unfurnished,800.0,450.0,2.0,0,3200000,37080.14399,12.0,4000.0,1.0,1.0
"Modi space Amazon, Kastur Park, Borivali West, Mumbai",Ready to move,Unfurnished,500.0,400.0024559,1.0,1,12500000,12500000.0,7.0,25000.0,1.0,2.0
"Laxmi Height, Mira Road East, Mumbai",Ready to move,Fully Furnished,740.0,534.5595076,2.0,1,8100000,159999.4314,16.0,10950.0,1.0,1.0
"JSB Nakshatra Primus, Naigaon East, Mumbai",Ready to move,Unfurnished,500.0,260.0,1.0,1,2552000,52473.40828,14.0,5100.0,1.0,1.0
"Ajmera Bhakti Park, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,585.0,450.0,1.0,0,12100000,120000.0,14.0,20680.0,1.0,1.0
"Mallhar Bhimashankar Heights, Anand Park, Dahisar West, Mumbai",Ready to move,Unfurnished,920.0,770.0,2.0,1,19500000,190000.0,20.0,21200.0,2.0,2.0
"Ideal Tower, Bharti Nagar, Mira Road East, Mumbai",Ready to move,Semi Furnished,630.0,444.2757725,1.0,1,7200000,140000.0,16.0,11430.0,1.0,1.0
"Vinayak Angan Prabhjadevi, Prabhadevi, Mumbai",Ready to move,Unfurnished,1400.0,1050.003203,1.0,2,47500000,47500000.0,15.0,33930.0,2.0,2.0
"Sai Pradyana Apartment, Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,630.0,490.0024072,1.0,1,15500000,15500000.0,13.0,24600.0,2.0,2.0
"Premier Colony, Kurla West, Mumbai",Ready to move,Unfurnished,900.0,600.0,2.0,0,12500000,130000.0,6.0,13890.0,2.0,2.0
"Chembur East, Chembur, Mumbai",Ready to move,Unfurnished,730.0,685.479166,1.0,1,19500000,19500000.0,13.0,26710.0,2.0,2.0
"Bhayandar East, Mumbai",Ready to move,Semi Furnished,675.0,414.8325344,1.999999902,1,6500000,58187.39421,7.0,9630.0,1.0,1.0
"Sheth Vasanth Utsav Complex, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,750.0,585.0,2.0,1,16500000,160000.0,8.0,22000.0,2.0,2.0
"ACME Complex, Prem Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,510.0,407.0,2.0,1,12000000,120000.0,7.0,23530.0,1.0,1.0
"HDIL Dheeraj Diamond, Chincholi Bunder, Malad West, Mumbai",Ready to move,Semi Furnished,990.0,675.0,2.0,1,15500000,160000.0,8.0,15660.0,2.0,2.0
"Sunteck West World 2 Tivri Naigaon East, Naigaon East, Mumbai",Ready to move,Unfurnished,610.0,392.0,1.0,1,3524000,41997.0053,22.0,5780.0,1.0,1.0
"Modirealty Vatvriksh, Yashwant Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,700.0,638.0,2.0,1,17700000,180000.0018,18.0,25290.0,2.0,2.0
"Shraddha Heights, Andheri East, Mumbai",Ready to move,Semi Furnished,560.0,474.0,2.0,2,15000000,150000.0,16.0,26790.0,1.0,1.0
"Sri Garden Avenue K, Global City, Virar West, Mumbai",Ready to move,Unfurnished,650.0,390.0,1.0,1,3800000,59999.0,14.0,5850.0,1.0,1.0
"Poonam Sagar Complex, Mira Road East, Mumbai",Ready to move,Fully Furnished,560.0,330.0150241,1.0,1,7500000,74998.43105,7.0,13390.0,1.0,1.0
"Omkar Ananta, Municipal Colony, Goregaon East, Mumbai",Ready to move,Semi Furnished,1050.0,655.0,2.0,1,12100000,120000.0,31.0,11520.0,2.0,2.0
"Kajupada, Sakinaka, Mumbai",Ready to move,Semi Furnished,550.0,434.5916518,1.0,1,12000000,12000000.0,12.0,21820.0,1.0,2.0
"KM Narmada Mohan Apartment, Naigaon East, Mumbai",Ready to move,Unfurnished,500.0,247.0,2.0,1,3200000,64000.0,14.0,6400.0,1.0,1.0
"Lokhandwala Fountain Heights, Lokhandwala Township, Kandivali East, Mumbai",Ready to move,Semi Furnished,1330.0,900.0,3.0,1,26000000,260000.0,18.0,19550.0,3.0,3.0
"Sethia Green View, Motilal Nagar II, Goregaon West, Mumbai",Ready to move,Fully Furnished,600.0,390.0,2.0,1,10500000,110000.0,8.0,17500.0,1.0,1.0
"Landmark Towers, Naigaon, Dadar East, Mumbai",Ready to move,Semi Furnished,950.0,750.0,2.0,1,30500000,300000.0,19.0,32100.0,2.0,2.0
"Srishti Pride, Industrial Area, Bhandup West, Mumbai",Ready to move,Unfurnished,1100.0,655.0,2.0,1,15000000,150000.0,21.0,13640.0,2.0,2.0
"Lodha New Cuffe Parade, Sion, Mumbai",Ready to move,Semi Furnished,650.0,470.0,2.0,1,22500000,0.0,35.0,34620.0,1.0,1.0
"Sheth Vasant Oasis, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,750.0,435.0,2.0,1,13300000,130000.0,22.0,17730.0,1.0,1.0
"Milat Nagar, Andheri West, Mumbai",Ready to move,Unfurnished,665.0,565.0,2.0,1,17000000,170000.0,7.0,25560.0,1.0,1.0
"Srishti Mayuresh Srishti, Kokan Nagar, Bhandup West, Mumbai",Ready to move,Semi Furnished,550.0,450.0,1.0,1,9800000,98000.0,20.0,17820.0,1.0,1.0
"Gavan Pada, Mahakali Nagar, Mulund East, Mumbai",Ready to move,Unfurnished,614.0,584.117591,1.0,1,14200000,14200000.0,17.0,23130.0,2.0,2.0
"Suba Zircon, Dawoolwadi, Andheri East, Mumbai",Ready to move,Fully Furnished,750.0,520.0,2.0,0,14000000,140000.0,11.0,18670.0,1.0,1.0
"IC Colony, I C Colony, Borivali West, Mumbai",Ready to move,Semi Furnished,920.0,672.6002813,2.0,1,19000000,19000000.0,7.0,20650.0,2.0,2.0
"Sidhivinayak Hill Ridge Apartments, Sainath Nagar, Powai, Mumbai",Ready to move,Unfurnished,1350.0,850.0,2.0,1,23500000,240000.0,8.0,17410.0,3.0,3.0
"Parinee, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1550.0,930.0000386,1.0,1,27000000,27000000.0,22.0,17420.0,3.0,4.0
"Chhatrapati Shivaji International Airport Area, Vile Parle East, Mumbai",Ready to move,Unfurnished,1774.0,1369.151717,1.0,2,57500000,57500000.0,9.0,32410.0,4.0,3.0
"Divya Gunjan, Bander Pakhadi, Kandivali West, Mumbai",Ready to move,Semi Furnished,750.0,650.0,2.0,1,15000000,13874407.88,7.0,20000.0,2.0,2.0
"Oberoi Exquisite, Aarey Colony, Goregaon East, Mumbai",Ready to move,Semi Furnished,1820.0,1449.870089,2.0,2,67000000,67000000.0,51.0,36810.0,3.0,3.0
"Tridhaatu Naksahtra, Chembur, Mumbai",Ready to move,Unfurnished,1060.0,870.2696894,1.0,1,24000000,24000000.0,12.0,22640.0,2.0,2.0
"KUL Court, Sen Nagar, Santacruz East, Mumbai",Ready to move,Unfurnished,1380.0,900.0,3.0,2,32000000,300000.0,12.0,23190.0,3.0,3.0
"Wadhwa Dukes Horizon, Best Colony, Govandi, Mumbai",Ready to move,Semi Furnished,1200.0,1050.0,3.0,2,37500000,380000.0,16.0,31250.0,3.0,3.0
"Neha Apartment, Seven Bunglow, Andheri West, Mumbai",Ready to move,Semi Furnished,500.0,465.0,2.0,1,12500000,130000.0,4.0,25000.0,1.0,1.0
"Lokhandwala Green Hills CHS, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Unfurnished,525.0,420.0,2.0,1,9500000,95000.0,7.0,18090.0,1.0,1.0
"Call Please, Dadi Sheth Wadi, Malabar Hill, Mumbai",Ready to move,Fully Furnished,1400.0,1984.573211,1.0,1,77600000,77600000.0,8.0,55430.0,3.0,2.0
"Solitare, Mahim West, Mahim, Mumbai",Ready to move,Semi Furnished,850.0,853.7076792,1.0,0,29000000,29000000.0,20.0,34120.0,2.0,2.0
"Kanakia Miami, Mahim, Mumbai",Ready to move,Fully Furnished,980.0,853.0,2.0,2,47500000,480000.0,24.0,48470.0,2.0,2.0
"Kanakia Paris, Sant Dnyaneshwar Nagar, Bandra East, Mumbai",Ready to move,Semi Furnished,1400.0,1147.0,3.0,2,42500000,430000.0,20.0,30360.0,3.0,3.0
"Sabari Gayathri, Swastik Park, Chembur, Mumbai",Ready to move,Unfurnished,1689.0,1350.0,3.0,2,36500000,0.0,14.0,21610.0,3.0,3.0
