,count,mean,std,min,25%,50%,75%,max
index,6256.0,4879.818893861892,2770.43933334215,1.0,2494.75,4920.5,7276.25,9546.0
Buildup_area,6256.0,1120.690537084399,735.1470375967365,180.0,650.0,950.0,1325.0,15000.0
Carpet_area,6256.0,864.8698014775575,583.2839178380216,150.0,475.0,708.31558255,1050.0,14000.0
Bathrooms,6256.0,1.9680573820030371,0.9117785996995053,0.999999964,1.0,2.0,2.0,10.0
Property_age,6256.0,7.519661125319693,7.3740918955506976,1.0,2.0,5.0,10.0,99.0
Parking,6256.0,1.2985933503836318,0.79750085476234,0.0,1.0,1.0,2.0,9.0
Price,6256.0,30578515.505115088,37903010.081599094,780000.0,10500000.0,19200000.0,35000000.0,500000000.0
Brokerage,6256.0,11481327.208449103,31642814.65150307,0.0,100000.0,250000.0,11000000.0,500000000.0
Floor,6256.0,19.885595252484336,13.951480267711663,2.0,10.0,16.0,23.0,99.0
Per_sqft_price,6256.0,23415.351551259588,13067.30858046999,1440.0,15657.5,21355.0,28792.5,100000.0
BHK,6256.0,2.159526854219949,1.0020197189199798,1.0,1.0,2.0,3.0,10.0
Total_bedrooms,6256.0,2.206877851878996,0.9856278695926552,1.0,2.0,2.0,3.0,10.0
