Buildup_area,Carpet_area,Bathrooms,Parking,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms,Price_Category
750.0,445.0,2.0,1,95000.0,21.0,12670.0,1.0,1.0,Low
700.0,550.0,2.0,1,130000.0,16.0,18570.0,1.0,1.0,Medium
1100.0,670.0,2.0,2,209999.987,7.0,19090.0,2.0,2.0,High
650.0,430.0,2.0,1,130000.0,23.0,19230.0,1.0,1.0,Medium
1300.0,900.0,3.0,2,100000.0,20.0,7380.0,3.0,3.0,Low
625.0,568.225459,1.0,1,17000000.0,25.0,27200.0,1.0,2.0,Medium
530.0,430.0,2.0,0,110000.0,20.0,21700.0,1.0,1.0,Medium
400.0,310.0,1.0,1,70000.0,7.0,17500.0,1.0,1.0,Low
650.0,777.2133507,1.0,1,26500000.0,3.0,40770.0,1.0,2.0,High
1515.0,1117.422864,1.0,2,46500000.0,62.0,30690.0,3.0,3.0,Very High
1400.0,1100.0,3.0,1,360000.0,7.0,26070.0,3.0,3.0,Very High
4925.0,2473.073021,3.0,4,175000000.0,29.0,35530.0,5.0,5.0,Very High
3000.0,3008.789272,1.0,2,240000000.0,15.0,80000.0,4.0,4.0,Very High
870.0,510.0,1.0,1,64999.0,7.0,4370.0,2.0,2.0,Low
1120.0,835.0919925,1.0,1,210000.0,44.0,18930.0,2.0,2.0,High
450.0,386.00472,1.0,1,39997.53865,4.0,17780.0,1.0,1.0,Low
730.0,535.212233,1.0,1,18500000.0,12.0,25340.0,2.0,2.0,Medium
945.0,650.0,2.0,1,190000.0,8.0,19580.0,2.0,2.0,Medium
1270.0,888.0,2.0,2,149792.4768,22.0,18900.0,2.0,2.0,High
710.0,479.0,2.0,1,130000.0,40.0,17610.0,1.0,1.0,Medium
750.0,585.0,2.0,1,160000.0,8.0,22000.0,2.0,2.0,Medium
1740.0,1400.0,3.0,1,430000.0,21.0,24430.0,3.0,3.0,Very High
6000.0,4550.000799,3.0,4,350000000.0,20.0,58330.0,4.0,4.0,Very High
1050.0,823.4118541,1.0,0,15500000.0,16.0,14760.0,2.0,2.0,Medium
1400.0,1000.0,3.0,1,1571476.379,14.0,26790.0,3.0,3.0,Very High
710.0,600.0,2.0,1,56634.60341,7.0,10560.0,2.0,2.0,Low
872.0,673.7941076,3.0,1,17747690.7,16.0,21790.0,2.0,2.0,Medium
810.0,1056.258532,1.0,2,38500000.0,8.0,47530.0,2.0,2.0,Very High
2271.0,2271.0,3.0,2,0.0,46.0,33020.0,3.0,3.0,Very High
580.0,400.0,2.0,1,42900.00743,7.0,6030.0,1.0,1.0,Low
1356.0,1073.0,3.0,1,880259.7551,61.0,33190.0,3.0,3.0,Very High
1325.0,925.0,3.0,3,390000.0,48.0,29060.0,4.0,4.0,Very High
425.0,343.3613899,1.0,1,85489.42846,5.0,20000.0,1.0,1.0,Low
700.0,450.0,2.0,0,77977.66014,22.0,10860.0,1.0,1.0,Low
950.0,590.0,2.0,0,104062.2636,7.0,8420.0,2.0,2.0,Low
1550.0,3349.999488,1.0,2,165000000.0,10.0,56893.67234,3.0,3.0,Very High
700.0,469.0,2.0,1,0.0,21.0,8500.0,1.0,1.0,Low
900.0,1349.372371,1.0,1,41500000.0,12.0,46110.0,3.0,3.0,Very High
1250.0,900.0,2.0,2,0.0,26.0,25600.0,3.0,3.0,High
600.0,600.0,2.0,1,150000.0,21.0,24670.0,2.0,2.0,Medium
550.0,440.0,2.0,1,94356.0952,7.0,16360.0,1.0,1.0,Low
560.0,424.627517,2.0,0,84952.23789,15.0,9290.0,1.0,2.0,Low
385.0,390.6431884,1.0,1,11500000.0,25.0,29870.0,1.0,2.0,Medium
728.0,428.0,2.0,1,1716904.682,23.0,18540.0,1.0,1.0,Medium
1794.0,1401.0,4.0,1,480000.0,12.0,26750.0,4.0,4.0,Very High
800.0,642.5706816,1.0,1,16000000.0,4.0,20000.0,2.0,2.0,Medium
500.0,484.4974122,1.0,1,22500000.0,43.0,45000.0,1.0,1.0,High
557.0,523.1896591,3.0,1,160000.0,15.0,9630.0,1.0,2.0,Low
1408.0,1100.0,3.0,1,330000.0,20.0,23080.0,3.0,3.0,High
1800.0,1420.0,4.0,3,600000.0,20.0,33330.0,4.0,4.0,Very High
2580.0,1750.0,6.0,6,1000000.0,35.0,38760.0,5.0,5.0,Very High
850.0,770.0,1.0,1,26999067.63,15.0,31760.0,2.0,2.0,High
4200.0,2753.299733,1.0,2,230000000.0,12.0,54760.0,4.0,4.0,Very High
700.0,475.8378672,1.0,1,13000000.0,8.0,18570.0,2.0,2.0,Medium
1200.0,1073.000566,2.0,1,47500000.0,13.0,39580.0,3.0,2.0,Very High
1123.0,775.0,2.0,1,4747671.042,22.0,9350.0,2.0,2.0,Medium
2800.0,2200.0,5.0,2,0.0,20.0,24110.0,5.0,5.0,Very High
1755.0,1502.0,2.0,1,0.0,15.0,45580.0,3.0,3.0,Very High
1000.0,1046.562815,1.0,2,37500000.0,12.0,37500.0,3.0,3.0,Very High
1596.0,1330.0,2.0,2,470000.0,43.0,29450.0,3.0,3.0,Very High
900.0,703.0,2.0,1,110000.0,34.0,12220.0,2.0,2.0,Medium
620.0,663.2531393,1.0,1,16500000.0,16.0,26610.0,1.0,2.0,Medium
825.0,650.0,2.0,1,180000.0,22.0,21210.0,2.0,2.0,Medium
2176.0,1700.0,4.0,2,650000.0,11.0,29870.0,4.0,4.0,Very High
950.0,762.3622333,1.0,2,20000000.0,9.0,21050.0,2.0,2.0,High
1800.0,1799.986086,1.0,2,62000000.0,8.0,34440.0,3.0,3.0,Very High
1000.0,900.0,3.0,1,250000.0,7.0,25500.0,3.0,3.0,High
900.0,771.0,2.0,2,170000.0,27.0,18890.0,2.0,2.0,Medium
1475.0,1218.0,4.0,3,330000.0,40.0,22370.0,3.0,3.0,High
650.0,550.0,2.0,0,74998.55557,12.0,5770.0,2.0,2.0,Low
421.0,305.0,2.0,0,55000.0,24.0,13060.0,1.0,1.0,Low
525.0,420.0,1.0,0,110000.0,7.0,20000.0,1.0,1.0,Medium
2022.0,1580.0,4.0,2,580000.0,14.0,28190.0,4.0,4.0,Very High
1150.0,777.0,2.0,2,350000.0,23.0,30430.0,2.0,2.0,Very High
609.0,392.4289666,3.0,1,58000.0,7.0,5250.0,1.0,1.0,Low
1450.0,1000.0,3.0,1,300000.0,22.0,20340.0,3.0,3.0,High
718.0,640.0,2.0,1,230000.0,9.0,31340.0,2.0,2.0,High
1560.0,1300.0,2.0,1,430000.0,10.0,27880.0,3.0,3.0,Very High
650.0,395.6206413,1.0,1,96208.23556,7.0,14770.0,1.0,2.0,Low
375.0,326.0,2.0,0,86000.0,7.0,22930.0,1.0,1.0,Low
595.0,398.0,1.0,1,52187.3509,11.0,4540.0,1.0,1.0,Low
750.0,498.0432693,2.0,1,23618.96283,10.0,9330.0,1.0,2.0,Low
652.0,522.0,2.0,1,140000.0,24.0,20700.0,1.0,1.0,Medium
1250.0,777.0,2.0,2,350000.0,23.0,28000.0,2.0,2.0,Very High
950.0,850.0,2.0,1,230000.0,18.0,23680.0,3.0,3.0,High
1000.0,850.0,3.0,1,240000.0,15.0,24000.0,3.0,3.0,High
1600.0,1093.0,3.0,1,380000.0,12.0,23750.0,3.0,3.0,Very High
700.0,638.0,2.0,1,180000.0018,18.0,25290.0,2.0,2.0,Medium
900.0,750.0012521,1.0,1,30000000.0,14.0,33330.0,3.0,3.0,High
2000.0,1800.0,2.0,2,850000.0,60.0,42500.0,3.0,3.0,Very High
916.0,763.0,2.0,1,220000.0,37.0,23910.0,2.0,2.0,High
750.0,495.0,1.0,1,170000.0,11.0,22800.0,1.0,1.0,Medium
950.0,657.9825684,1.0,1,17000000.0,16.0,17890.0,2.0,2.0,Medium
1500.0,1086.0,2.0,1,0.0,42.0,25000.0,3.0,3.0,Very High
540.0,440.0,2.0,1,130000.0,7.0,23150.0,1.0,1.0,Medium
2200.0,1600.0,2.0,2,850000.0,30.0,38640.0,3.0,3.0,Very High
1050.0,850.0,3.0,2,240000.0,14.0,22670.0,3.0,3.0,High
1100.0,850.0,2.0,1,160000.0,14.0,15000.0,2.0,2.0,Medium
750.0,628.7848763,1.0,1,19000000.0,18.0,25330.0,2.0,2.0,Medium
1120.0,959.5486223,2.0,1,25000000.0,12.0,22320.0,2.0,2.0,High
1100.0,920.0,3.0,2,250000.0,15.0,23180.0,3.0,3.0,High
950.0,1216.056785,1.0,1,45500000.0,35.0,47890.0,3.0,2.0,Very High
2500.0,1500.0,3.0,2,650000.0,15.0,27000.0,4.0,4.0,Very High
683.0,483.0,1.0,1,90000.0,23.0,13180.0,1.0,1.0,Low
810.0,610.0,3.0,1,140000.0,23.0,16670.0,2.0,2.0,Medium
525.0,425.0,2.0,1,0.0,18.0,22860.0,1.0,1.0,Medium
720.0,928.5192061,1.0,1,35000000.0,8.0,48610.0,1.0,2.0,Very High
900.0,650.0,2.0,2,14035.74171,10.0,9780.0,2.0,2.0,Low
1060.0,650.6269537,3.0,1,110170.5988,24.0,11320.0,2.0,2.0,Medium
480.0,400.0,2.0,1,98736.32244,7.0,20210.0,2.0,2.0,Low
840.0,604.0,1.0,1,57000.0,4.0,3390.0,2.0,2.0,Low
1020.0,630.0,2.0,1,100000.0,14.0,9410.0,2.0,2.0,Low
2500.0,2000.0,3.0,2,870000.0,22.0,34960.0,4.0,4.0,Very High
900.0,699.9824107,1.0,1,16500000.0,30.0,18330.0,2.0,2.0,Medium
1869.0,1769.0,3.0,2,0.0,60.0,29330.0,3.0,3.0,Very High
410.0,579.5765719,1.0,1,94393.76825,24.0,12800.0,1.0,2.0,Low
450.0,330.0,1.0,0,150000.0,16.0,33330.0,1.0,1.0,Medium
1412.0,1174.0,3.0,2,400000.0,20.0,28680.0,3.0,3.0,Very High
743.0,571.0078144,2.0,1,15657.36285,23.0,15070.0,2.0,2.0,Medium
550.0,391.0,2.0,1,100000.0,22.0,20000.0,1.0,1.0,Medium
1100.0,1000.0,3.0,1,350000.0,32.0,31820.0,3.0,3.0,Very High
850.0,600.0,2.0,1,32507.97175,15.0,6120.0,2.0,2.0,Low
600.0,439.9873688,1.0,1,96000.00858,7.0,16000.0,1.0,1.0,Low
700.0,486.0,2.0,1,130000.0,40.0,17860.0,1.0,1.0,Medium
610.0,418.3750612,1.0,2,71298.02764,8.0,9020.0,1.0,1.0,Low
650.0,379.0,2.0,1,160000.0,23.0,23850.0,1.0,1.0,Medium
990.0,652.0,2.0,2,150000.0,23.0,10610.0,2.0,2.0,Medium
850.0,545.0,2.0,2,0.0,30.0,8350.0,2.0,2.0,Low
900.0,712.0,2.0,1,240000.0,8.0,25550.0,2.0,2.0,High
1200.0,1050.0,3.0,1,300000.0,14.0,27080.0,3.0,3.0,High
665.0,438.6408692,1.0,1,24000000.0,16.0,36090.0,2.0,2.0,High
705.0,499.78902,1.0,0,12500000.0,20.0,17730.0,1.0,2.0,Medium
1000.0,854.0,2.0,2,280000.0,20.0,28000.0,2.0,2.0,High
800.0,600.0,2.0,1,160000.0,9.0,20630.0,2.0,2.0,Medium
1600.0,1150.0,3.0,1,550000.0342,30.0,34380.0,3.0,3.0,Very High
1700.0,1418.014066,1.0,2,62500000.0,16.0,36760.0,3.0,3.0,Very High
975.0,620.0,3.0,1,140000.0,14.0,12820.0,2.0,2.0,Medium
557.0,523.1896591,3.0,1,160000.0,15.0,9630.0,1.0,2.0,Low
1040.0,720.0,2.0,1,240000.0,21.0,23080.0,2.0,2.0,High
1100.0,724.0,2.0,1,200000.0,50.0,18180.0,2.0,2.0,High
1150.0,844.0,2.0,1,300000.0,22.0,25650.0,2.0,2.0,High
1100.0,730.0,2.0,1,189957.1056,7.0,17730.0,2.0,2.0,High
610.0,379.6918209,2.0,1,58004.47206,7.0,4750.0,1.0,1.0,Low
1590.0,1073.124863,1.0,1,52000000.0,8.0,32700.0,3.0,3.0,Very High
1250.0,925.0,2.0,3,260000.0,38.0,21200.0,3.0,3.0,High
1395.0,994.0,2.0,1,310000.0,40.0,22220.0,2.0,2.0,High
1685.0,1485.0,2.0,1,300000.0,45.0,17800.0,2.0,2.0,High
680.0,540.0,2.0,1,7941.597084,8.0,9120.0,1.0,1.0,Low
2200.0,1458.671462,1.0,3,94500000.0,7.0,42950.0,4.0,4.0,Very High
1400.0,1278.0,3.0,2,600000.0,41.0,42860.0,3.0,3.0,Very High
850.0,668.9535205,1.0,1,21500000.0,8.0,25290.0,2.0,2.0,High
900.0,702.9932734,3.0,1,21000000.0,33.0,23330.0,2.0,2.0,High
680.0,418.0,2.0,1,0.0,22.0,33090.0,1.0,1.0,High
1050.0,661.0,2.0,2,180000.0,36.0,16670.0,2.0,2.0,Medium
1300.0,1000.0,3.0,1,330000.0,23.0,25000.0,3.0,3.0,High
600.0,308.0,2.0,1,83397.27013,40.0,14170.0,1.0,1.0,Low
511.0,511.0,1.0,1,170000.0,43.0,33270.0,1.0,1.0,Medium
775.0,482.8444401,3.0,1,75000.0,10.0,8000.0,1.0,2.0,Low
500.0,470.0000253,2.0,1,45956.99748,7.0,4600.0,1.0,1.0,Low
1173.0,1073.0,2.0,1,450000.0,61.0,38360.0,3.0,3.0,Very High
590.0,415.0,1.0,2,0.0,10.0,3980.0,1.0,1.0,Low
